raw_row_number,duplicate_flag,duplicate_group_size,refinery,type,work_shift,origin_departure_date,origin_net_weight,destination_arrival_date,destination_net_weight,weight_difference
79,TRUE,2,Shiraz,VB,Night shift,1399/01/25,24520,1399/01/26,24450,-70
81,TRUE,2,Shiraz,VB,Night shift,1399/01/25,24520,1399/01/26,24450,-70
