raw_row_number,Origin Departure Date,Destination Arrival Date,origin_format_matches_yyyy_mm_dd,destination_format_matches_yyyy_mm_dd,origin_components_within_broad_ranges,destination_components_within_broad_ranges,destination_label_after_or_equal_origin
77,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
78,1399/01/26,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
79,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
80,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
81,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
82,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
83,1399/01/25,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
84,1399/01/26,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
85,1399/01/26,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
86,1399/01/26,1399/01/26,TRUE,TRUE,TRUE,TRUE,TRUE
87,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
88,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
89,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
90,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
91,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
92,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
93,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
94,1399/01/27,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
95,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
96,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
97,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
98,1399/01/26,1399/01/28,TRUE,TRUE,TRUE,TRUE,TRUE
99,1399/01/26,1399/01/28,TRUE,TRUE,TRUE,TRUE,TRUE
100,1399/01/27,1399/01/28,TRUE,TRUE,TRUE,TRUE,TRUE
101,1399/01/26,1399/01/27,TRUE,TRUE,TRUE,TRUE,TRUE
102,1399/01/27,1399/01/28,TRUE,TRUE,TRUE,TRUE,TRUE
103,1399/01/26,1399/01/28,TRUE,TRUE,TRUE,TRUE,TRUE
104,1399/01/26,1399/01/29,TRUE,TRUE,TRUE,TRUE,TRUE
105,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
106,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
107,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
108,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
109,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
110,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
111,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
112,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
113,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
114,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
115,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
116,1399/02/04,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
117,1399/02/03,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
118,1399/02/04,1399/02/04,TRUE,TRUE,TRUE,TRUE,TRUE
119,1399/02/04,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
120,1399/02/04,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
121,1399/02/05,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
122,1399/02/05,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
123,1399/02/05,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
124,1399/02/05,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
125,1399/02/04,1399/02/05,TRUE,TRUE,TRUE,TRUE,TRUE
126,1399/02/04,1399/02/06,TRUE,TRUE,TRUE,TRUE,TRUE
127,1399/02/05,1399/02/06,TRUE,TRUE,TRUE,TRUE,TRUE
128,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
129,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
130,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
131,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
132,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
133,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
134,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
135,1399/02/06,1399/02/07,TRUE,TRUE,TRUE,TRUE,TRUE
136,1399/02/09,1399/02/10,TRUE,TRUE,TRUE,TRUE,TRUE
137,1399/02/12,1399/02/14,TRUE,TRUE,TRUE,TRUE,TRUE
138,1399/02/20,1399/02/22,TRUE,TRUE,TRUE,TRUE,TRUE
139,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
140,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
141,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
142,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
143,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
144,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
145,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
146,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
147,1399/02/30,1399/02/31,TRUE,TRUE,TRUE,TRUE,TRUE
