raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
56,Shiraz,VB,Night shift,1399/01/25,1399/01/25,25000,25030,25000,25030,30,30,FALSE,FALSE
57,Shiraz,VB,Night shift,1399/01/25,1399/01/26,24530,24500,24530,24500,-30,30,FALSE,FALSE
58,Shiraz,VB,Night shift,1399/01/25,1399/01/26,23300,23290,23300,23290,-10,10,FALSE,FALSE
59,Shiraz,VB,Night shift,1399/01/25,1399/01/26,25460,25390,25460,25390,-70,70,FALSE,FALSE
60,Shiraz,VB,Night shift,1399/01/25,1399/01/26,23920,24010,23920,24010,90,90,FALSE,FALSE
61,Shiraz,VB,Day shift,1399/01/25,1399/01/26,22480,22440,22480,22440,-40,40,FALSE,FALSE
62,Shiraz,VB,Day shift,1399/01/25,1399/01/26,22770,22760,22770,22760,-10,10,FALSE,FALSE
63,Shiraz,VB,Day shift,1399/01/25,1399/01/26,23750,23730,23750,23730,-20,20,FALSE,FALSE
64,Shiraz,VB,Day shift,1399/01/25,1399/01/26,26620,26600,26620,26600,-20,20,FALSE,FALSE
65,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24930,24900,24930,24900,-30,30,FALSE,FALSE
66,Shiraz,VB,Day shift,1399/01/25,1399/01/26,25220,25220,25220,25220,0,0,FALSE,TRUE
67,Shiraz,VB,Day shift,1399/01/25,1399/01/26,25830,25700,25830,25700,-130,130,FALSE,FALSE
68,Shiraz,VB,Day shift,1399/01/25,1399/01/26,23800,23790,23800,23790,-10,10,FALSE,FALSE
69,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24250,24230,24250,24230,-20,20,FALSE,FALSE
70,Shiraz,VB,Day shift,1399/01/25,1399/01/26,22650,22640,22650,22640,-10,10,FALSE,FALSE
71,Shiraz,VB,Day shift,1399/01/25,1399/01/26,23470,23450,23470,23450,-20,20,FALSE,FALSE
72,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24380,24390,24380,24390,10,10,FALSE,FALSE
73,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24850,24850,24850,24850,0,0,FALSE,TRUE
74,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24480,24460,24480,24460,-20,20,FALSE,FALSE
75,Shiraz,VB,Day shift,1399/01/25,1399/01/26,25340,25320,25340,25320,-20,20,FALSE,FALSE
76,Shiraz,VB,Day shift,1399/01/26,1399/01/26,24240,24210,24240,24210,-30,30,FALSE,FALSE
77,Shiraz,VB,Day shift,1399/01/25,1399/01/26,24720,24700,24720,24700,-20,20,FALSE,FALSE
78,Shiraz,VB,Day shift,1399/01/26,1399/01/26,25840,25820,25840,25820,-20,20,FALSE,FALSE
79,Shiraz,VB,Night shift,1399/01/25,1399/01/26,24520,24450,24520,24450,-70,70,FALSE,FALSE
80,Shiraz,VB,Night shift,1399/01/25,1399/01/26,24410,24310,24410,24310,-100,100,FALSE,FALSE
81,Shiraz,VB,Night shift,1399/01/25,1399/01/26,24520,24450,24520,24450,-70,70,FALSE,FALSE
82,Shiraz,VB,Night shift,1399/01/25,1399/01/26,25150,25200,25150,25200,50,50,FALSE,FALSE
83,Shiraz,VB,Night shift,1399/01/25,1399/01/26,25270,25290,25270,25290,20,20,FALSE,FALSE
84,Shiraz,VB,Night shift,1399/01/26,1399/01/26,23140,23170,23140,23170,30,30,FALSE,FALSE
85,Shiraz,VB,Night shift,1399/01/26,1399/01/26,24250,24220,24250,24220,-30,30,FALSE,FALSE
86,Shiraz,VB,Night shift,1399/01/26,1399/01/26,24550,24530,24550,24530,-20,20,FALSE,FALSE
87,Shiraz,VB,Night shift,1399/01/26,1399/01/27,24720,24700,24720,24700,-20,20,FALSE,FALSE
88,Shiraz,VB,Day shift,1399/01/26,1399/01/27,22470,22470,22470,22470,0,0,FALSE,TRUE
89,Shiraz,VB,Day shift,1399/01/26,1399/01/27,24800,24870,24800,24870,70,70,FALSE,FALSE
90,Shiraz,VB,Day shift,1399/01/26,1399/01/27,24350,24210,24350,24210,-140,140,FALSE,FALSE
91,Shiraz,VB,Day shift,1399/01/26,1399/01/27,24250,24300,24250,24300,50,50,FALSE,FALSE
92,Shiraz,VB,Night shift,1399/01/26,1399/01/27,24350,23840,24350,23840,-510,510,TRUE,FALSE
93,Shiraz,VB,Night shift,1399/01/26,1399/01/27,24640,24590,24640,24590,-50,50,FALSE,FALSE
94,Shiraz,VB,Night shift,1399/01/27,1399/01/27,25260,25280,25260,25280,20,20,FALSE,FALSE
95,Shiraz,VB,Night shift,1399/01/26,1399/01/27,24840,24940,24840,24940,100,100,FALSE,FALSE
96,Shiraz,VB,Night shift,1399/01/26,1399/01/27,25320,25230,25320,25230,-90,90,FALSE,FALSE
97,Shiraz,VB,Night shift,1399/01/26,1399/01/27,24550,24330,24550,24330,-220,220,FALSE,FALSE
98,Shiraz,VB,Night shift,1399/01/26,1399/01/28,23210,23200,23210,23200,-10,10,FALSE,FALSE
99,Shiraz,VB,Night shift,1399/01/26,1399/01/28,25060,25020,25060,25020,-40,40,FALSE,FALSE
100,Shiraz,VB,Night shift,1399/01/27,1399/01/28,23790,23760,23790,23760,-30,30,FALSE,FALSE
101,Pars Petrochemical,C5+,Night shift,1399/01/26,1399/01/27,26980,26940,26980,26940,-40,40,FALSE,FALSE
102,Shiraz,VB,Day shift,1399/01/27,1399/01/28,25680,25710,25680,25710,30,30,FALSE,FALSE
103,Shiraz,VB,Night shift,1399/01/26,1399/01/28,23460,23570,23460,23570,110,110,FALSE,FALSE
104,Shiraz,VB,Day shift,1399/01/26,1399/01/29,23030,23030,23030,23030,0,0,FALSE,TRUE
105,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25710,25640,25710,25640,-70,70,FALSE,FALSE
106,Shiraz,VB,Day shift,1399/02/03,1399/02/04,25440,25400,25440,25400,-40,40,FALSE,FALSE
107,Shiraz,VB,Day shift,1399/02/03,1399/02/04,24320,24310,24320,24310,-10,10,FALSE,FALSE
