raw_row_number,Refinery,Type,Work shift,Origin Departure Date,Destination Arrival Date,Origin Net Weight,Destination Net Weight,origin_weight_numeric,destination_weight_numeric,destination_minus_origin,absolute_weight_difference,is_largest_absolute_difference,is_smallest_absolute_difference
237,Tehran,VB,Night shift,1399/03/15,1399/03/17,25080,25030,25080,25030,-50,50,FALSE,FALSE
238,Tehran,VB,Night shift,1399/03/15,1399/03/17,23635,23600,23635,23600,-35,35,FALSE,FALSE
239,Pars Petrochemical,C5+,Day shift,1399/03/15,1399/03/15,22100,22020,22100,22020,-80,80,FALSE,FALSE
240,Pars Petrochemical,C5+,Evening shift,1399/03/15,1399/03/15,22310,22240,22310,22240,-70,70,FALSE,FALSE
241,Pars Petrochemical,C5+,Evening shift,1399/03/15,1399/03/16,22360,22400,22360,22400,40,40,FALSE,FALSE
242,Pars Petrochemical,C5+,Evening shift,1399/03/15,1399/03/16,22240,22420,22240,22420,180,180,FALSE,FALSE
243,Pars Petrochemical,C5+,Night shift,1399/03/16,1399/03/16,22450,22470,22450,22470,20,20,FALSE,FALSE
244,Pars Petrochemical,C5+,Night shift,1399/03/16,1399/03/16,21990,21950,21990,21950,-40,40,FALSE,FALSE
245,Pars Petrochemical,C5+,Night shift,1399/03/16,1399/03/17,21420,21310,21420,21310,-110,110,FALSE,FALSE
246,Pars Petrochemical,C5+,Day shift,1399/03/16,1399/03/17,22180,22210,22180,22210,30,30,FALSE,FALSE
247,Pars Petrochemical,C5+,Day shift,1399/03/16,1399/03/17,22620,22570,22620,22570,-50,50,FALSE,FALSE
248,Pars Petrochemical,C5+,Day shift,1399/03/17,1399/03/17,21980,22010,21980,22010,30,30,FALSE,FALSE
249,Tehran,VB,Day shift,1399/03/15,1399/03/18,24340,24290,24340,24290,-50,50,FALSE,FALSE
250,Tehran,VB,Day shift,1399/03/15,1399/03/18,23175,23090,23175,23090,-85,85,FALSE,FALSE
251,Pars Petrochemical,C5+,Evening shift,1399/03/17,1399/03/17,22300,22360,22300,22360,60,60,FALSE,FALSE
252,Pars Petrochemical,C5+,Evening shift,1399/03/17,1399/03/18,22700,22650,22700,22650,-50,50,FALSE,FALSE
253,South Pars,Condensate,Evening shift,1399/03/17,1399/03/18,23085,22880,23085,22880,-205,205,FALSE,FALSE
254,Pars Petrochemical,C5+,Evening shift,1399/03/17,1399/03/18,21870,21870,21870,21870,0,0,FALSE,TRUE
255,Tehran,Iso-Recycle,Evening shift,1399/03/12,1399/03/18,26200,26170,26200,26170,-30,30,FALSE,FALSE
256,Pars Petrochemical,C5+,Evening shift,1399/03/18,1399/03/19,22120,22010,22120,22010,-110,110,FALSE,FALSE
257,Pars Petrochemical,C5+,Evening shift,1399/03/19,1399/03/19,22110,22070,22110,22070,-40,40,FALSE,FALSE
258,Pars Petrochemical,C5+,Evening shift,1399/03/19,1399/03/19,21450,21420,21450,21420,-30,30,FALSE,FALSE
259,South Pars,Condensate,Night shift,1399/03/19,1399/03/19,20675,20790,20675,20790,115,115,FALSE,FALSE
260,South Pars,Condensate,Day shift,1399/03/19,1399/03/20,22717,22660,22717,22660,-57,57,FALSE,FALSE
261,South Pars,Condensate,Evening shift,1399/03/19,1399/03/20,22696,22670,22696,22670,-26,26,FALSE,FALSE
262,South Pars,Condensate,Evening shift,1399/03/19,1399/03/20,22692,22690,22692,22690,-2,2,FALSE,FALSE
263,South Pars,Condensate,Evening shift,1399/03/19,1399/03/20,22748,22670,22748,22670,-78,78,FALSE,FALSE
264,South Pars,Condensate,Evening shift,1399/03/19,1399/03/20,20574,20430,20574,20430,-144,144,FALSE,FALSE
265,South Pars,Condensate,Evening shift,1399/03/20,1399/03/20,22665,22550,22665,22550,-115,115,FALSE,FALSE
